날짜,렌트수,기온,상대습도,풍속
2011-06-25,5202,0.643313,0.483333,0.209571
2011-06-26,5305,0.637629,0.513333,0.0945333
2011-06-27,4708,0.637004,0.658333,0.107588
2011-06-28,4648,0.692558,0.634167,0.144283
2011-06-29,5225,0.654688,0.497917,0.261821
2011-06-30,5515,0.637008,0.434167,0.185312
2011-07-01,5362,0.652162,0.39625,0.102608
2011-07-02,5119,0.667308,0.444583,0.115062
2011-07-03,4649,0.668575,0.6825,0.228858
2011-07-04,6043,0.665417,0.637917,0.0814792
2011-07-05,4665,0.696338,0.590417,0.126258
2011-07-06,4629,0.685633,0.743333,0.149883
2011-07-07,4592,0.686871,0.65125,0.1592
2011-07-08,4040,0.670483,0.757917,0.225129
2011-07-09,5336,0.664158,0.609167,0.167912
2011-07-10,4881,0.690025,0.578333,0.183471
2011-07-11,4086,0.729804,0.635833,0.282337
2011-07-12,4258,0.739275,0.559167,0.200254
2011-07-13,4342,0.689404,0.631667,0.146133
2011-07-14,5084,0.635104,0.47625,0.240667
2011-07-15,5538,0.624371,0.59125,0.182833
2011-07-16,5923,0.638263,0.585,0.208342
2011-07-17,5302,0.669833,0.604167,0.245033
2011-07-18,4458,0.703925,0.65125,0.215804
2011-07-19,4541,0.747479,0.650417,0.1306
2011-07-20,4332,0.74685,0.707083,0.113817
2011-07-21,3784,0.826371,0.69125,0.222021
2011-07-22,3387,0.840896,0.580417,0.1331
2011-07-23,3285,0.804287,0.5,0.131221
2011-07-24,3606,0.794829,0.550833,0.169171
2011-07-25,3840,0.720958,0.757083,0.0908083
2011-07-26,4590,0.696979,0.540833,0.200258
2011-07-27,4656,0.690667,0.402917,0.183463
2011-07-28,4390,0.7399,0.583333,0.178479
2011-07-29,3846,0.785967,0.5425,0.174138
2011-07-30,4475,0.728537,0.465833,0.168537
2011-07-31,4302,0.729796,0.480833,0.164813
2011-08-01,4266,0.703292,0.550833,0.156717
2011-08-02,4845,0.707071,0.49125,0.20585
2011-08-03,3574,0.679937,0.6575,0.135583
2011-08-04,4576,0.664788,0.7575,0.19715
2011-08-05,4866,0.656567,0.630833,0.184696
2011-08-06,4294,0.676154,0.755,0.22825
2011-08-07,3785,0.715292,0.752917,0.201487
2011-08-08,4326,0.703283,0.592083,0.192175
2011-08-09,4602,0.724121,0.570417,0.151121
2011-08-10,4780,0.684983,0.424167,0.200258
2011-08-11,4792,0.651521,0.42375,0.164796
2011-08-12,4905,0.654042,0.415,0.125621
2011-08-13,4150,0.645858,0.729583,0.211454
2011-08-14,3820,0.624388,0.8175,0.222633
2011-08-15,4338,0.616167,0.712083,0.208954
2011-08-16,4725,0.645837,0.578333,0.236329
2011-08-17,4694,0.666671,0.575417,0.143667
2011-08-18,3805,0.662258,0.654583,0.233208
2011-08-19,4153,0.633221,0.722917,0.139308
2011-08-20,5191,0.648996,0.674167,0.104467
2011-08-21,3873,0.675525,0.77,0.248754
2011-08-22,4758,0.638254,0.47,0.27675
2011-08-23,5895,0.606067,0.455417,0.146763
2011-08-24,5130,0.630692,0.605,0.253108
2011-08-25,3542,0.645854,0.771667,0.210833
2011-08-26,4661,0.659733,0.76125,0.0839625
2011-08-27,1115,0.635556,0.85,0.375617
2011-08-28,4334,0.647959,0.561765,0.304659
2011-08-29,4634,0.607958,0.554583,0.159825
2011-08-30,5204,0.594704,0.548333,0.125008
2011-08-31,5058,0.611121,0.597917,0.0833333
2011-09-01,5115,0.614921,0.639167,0.141796
2011-09-02,4727,0.604808,0.727083,0.139929
2011-09-03,4484,0.633213,0.716667,0.185325
2011-09-04,4940,0.665429,0.742083,0.206467
2011-09-05,3351,0.625646,0.790417,0.212696
2011-09-06,2710,0.5152,0.886957,0.343943
2011-09-07,1996,0.544229,0.917083,0.0970208
2011-09-08,1842,0.555361,0.939565,0.192748
2011-09-09,3544,0.578946,0.897917,0.124379
2011-09-10,5345,0.607962,0.75375,0.153608
2011-09-11,5046,0.609229,0.71375,0.115054
2011-09-12,4713,0.60213,0.692174,0.088913
2011-09-13,4763,0.603554,0.7125,0.141804
2011-09-14,4785,0.6269,0.697083,0.1673
2011-09-15,3659,0.553671,0.709167,0.271146
2011-09-16,4760,0.461475,0.590417,0.164183
2011-09-17,4511,0.478512,0.718333,0.189675
2011-09-18,4274,0.490537,0.695,0.178483
2011-09-19,4539,0.529675,0.69,0.151742
2011-09-20,3641,0.532217,0.88125,0.134954
2011-09-21,4352,0.550533,0.9,0.0964042
2011-09-22,4795,0.554963,0.902083,0.128125
2011-09-23,2395,0.522125,0.9725,0.0783667
2011-09-24,5423,0.564412,0.8625,0.0783833
2011-09-25,5010,0.572637,0.845,0.0503792
2011-09-26,4630,0.589042,0.848333,0.1107
2011-09-27,4120,0.574525,0.885417,0.118171
2011-09-28,3907,0.575158,0.84875,0.148629
2011-09-29,4839,0.574512,0.699167,0.172883
2011-09-30,5202,0.544829,0.6475,0.206475
2011-10-01,2429,0.412863,0.75375,0.292296
2011-10-02,2918,0.345317,0.791667,0.222013
2011-10-03,3570,0.392046,0.760833,0.0833458
2011-10-04,4456,0.472858,0.71,0.205854
2011-10-05,4826,0.527138,0.647917,0.17725
2011-10-06,4765,0.480425,0.620833,0.134954
2011-10-07,4985,0.504404,0.684167,0.0223917
2011-10-08,5409,0.513242,0.70125,0.0454042
2011-10-09,5511,0.523983,0.7275,0.06345
2011-10-10,5117,0.542925,0.73375,0.0423042
2011-10-11,4563,0.546096,0.80875,0.143042
2011-10-12,2416,0.517717,0.90625,0.24815
2011-10-13,2913,0.551804,0.896667,0.141787
2011-10-14,3644,0.529675,0.71625,0.223883
2011-10-15,5217,0.498725,0.483333,0.258083
2011-10-16,5041,0.503154,0.486667,0.281717
2011-10-17,4570,0.510725,0.579583,0.175379
2011-10-18,4748,0.522721,0.701667,0.110087
2011-10-19,2424,0.513848,0.895217,0.243339
2011-10-20,4195,0.466525,0.63625,0.422275
2011-10-21,4304,0.423596,0.574167,0.221396
2011-10-22,4308,0.425492,0.629167,0.0926667
2011-10-23,4381,0.422333,0.74125,0.0995125
2011-10-24,4187,0.457067,0.772083,0.118792
2011-10-25,4687,0.463375,0.622917,0.166658
2011-10-26,3894,0.472846,0.720417,0.148642
2011-10-27,2659,0.457046,0.812917,0.197763
2011-10-28,3747,0.318812,0.585833,0.229479
2011-10-29,627,0.227913,0.8825,0.351371
2011-10-30,3331,0.321329,0.62375,0.176617
2011-10-31,3669,0.356063,0.703333,0.10635
2011-11-01,4068,0.397088,0.68375,0.135571
2011-11-02,4186,0.390133,0.71875,0.0820917
2011-11-03,3974,0.405921,0.702083,0.136817
2011-11-04,4046,0.403392,0.6225,0.271779
2011-11-05,3926,0.323854,0.519167,0.189062
2011-11-06,3649,0.362358,0.734583,0.0920542
2011-11-07,4035,0.400871,0.75875,0.057225
2011-11-08,4205,0.412246,0.721667,0.0690375
2011-11-09,4109,0.409079,0.758333,0.0621958
2011-11-10,2933,0.373721,0.813333,0.189067
2011-11-11,3368,0.306817,0.44625,0.314675
2011-11-12,4067,0.357942,0.552917,0.212062
2011-11-13,3717,0.43055,0.458333,0.281721
2011-11-14,4486,0.524612,0.587083,0.306596
2011-11-15,4195,0.507579,0.68875,0.199633
2011-11-16,1817,0.451988,0.93,0.136829
2011-11-17,3053,0.323221,0.575833,0.305362
2011-11-18,3392,0.272721,0.41,0.168533
2011-11-19,3663,0.324483,0.502083,0.224496
2011-11-20,3520,0.457058,0.684583,0.18595
2011-11-21,2765,0.445062,0.91,0.138054
2011-11-22,1607,0.421696,0.9625,0.118792
2011-11-23,2566,0.430537,0.757917,0.335825
2011-11-24,1495,0.372471,0.549167,0.167304
2011-11-25,2792,0.380671,0.64375,0.0988958
2011-11-26,3068,0.385087,0.681667,0.0684208
2011-11-27,3071,0.4558,0.698333,0.208954
2011-11-28,3867,0.490122,0.743043,0.142122
2011-11-29,2914,0.451375,0.830833,0.258092
2011-11-30,3613,0.311221,0.613333,0.271158
2011-12-01,3727,0.305554,0.524583,0.220158
2011-12-02,3940,0.331433,0.625833,0.100754
2011-12-03,3614,0.310604,0.612917,0.0957833
2011-12-04,3485,0.3491,0.775833,0.0839583
2011-12-05,3811,0.393925,0.827083,0.0622083
2011-12-06,2594,0.4564,0.949583,0.232583
2011-12-07,705,0.400246,0.970417,0.266175
2011-12-08,3322,0.256938,0.58,0.240058
2011-12-09,3620,0.317542,0.695833,0.0827167
2011-12-10,3190,0.266412,0.5075,0.233221
2011-12-11,2743,0.253154,0.49,0.0665417
2011-12-12,3310,0.270196,0.670833,0.06345
2011-12-13,3523,0.301138,0.59,0.14055
2011-12-14,3740,0.338362,0.66375,0.0609583
2011-12-15,3709,0.412237,0.634167,0.268042
2011-12-16,3577,0.359825,0.500417,0.260575
2011-12-17,2739,0.249371,0.560833,0.243167
2011-12-18,2431,0.245579,0.58625,0.169779
2011-12-19,3403,0.280933,0.6375,0.172896
2011-12-20,3750,0.396454,0.595417,0.0615708
2011-12-21,2660,0.428017,0.858333,0.2214
2011-12-22,3068,0.426121,0.7575,0.047275
2011-12-23,2209,0.377513,0.68625,0.274246
2011-12-24,1011,0.299242,0.5425,0.190304
2011-12-25,754,0.279961,0.681304,0.155091
2011-12-26,1317,0.315535,0.506957,0.239465
2011-12-27,1162,0.327633,0.7625,0.18845
2011-12-28,2302,0.279974,0.503913,0.293961
2011-12-29,2423,0.263892,0.574167,0.119412
2011-12-30,2999,0.318812,0.636667,0.134337
2011-12-31,2485,0.414121,0.615833,0.220154
2012-01-01,2294,0.375621,0.6925,0.192167
2012-01-02,1951,0.252304,0.381304,0.329665
2012-01-03,2236,0.126275,0.44125,0.365671
2012-01-04,2368,0.119337,0.414583,0.1847
2012-01-05,3272,0.278412,0.524167,0.129987
2012-01-06,4098,0.340267,0.542083,0.167908
2012-01-07,4521,0.390779,0.531667,0.174758
2012-01-08,3425,0.340258,0.465,0.191542
2012-01-09,2376,0.247479,0.701667,0.0989
2012-01-10,3598,0.318826,0.646522,0.187552
2012-01-11,2177,0.282821,0.8475,0.131221
2012-01-12,4097,0.381938,0.802917,0.180967
2012-01-13,3214,0.249362,0.5075,0.378108
2012-01-14,2493,0.183087,0.4575,0.187183
2012-01-15,2311,0.161625,0.419167,0.251258
2012-01-16,2298,0.190663,0.5225,0.231358
2012-01-17,2935,0.364278,0.716087,0.34913
2012-01-18,3376,0.275254,0.443333,0.415429
2012-01-19,3292,0.190038,0.4975,0.220158
2012-01-20,3163,0.220958,0.45,0.20275
2012-01-21,1301,0.174875,0.83125,0.222642
2012-01-22,1977,0.16225,0.79625,0.199638
2012-01-23,2432,0.243058,0.91125,0.110708
2012-01-24,4339,0.349108,0.835833,0.123767
2012-01-25,4270,0.294821,0.64375,0.161071
2012-01-26,4075,0.35605,0.769583,0.0733958
2012-01-27,3456,0.415383,0.74125,0.342667
2012-01-28,4023,0.326379,0.543333,0.210829
2012-01-29,3243,0.272721,0.31125,0.24005
2012-01-30,3624,0.262625,0.400833,0.215792
2012-01-31,4509,0.381317,0.416667,0.261817
2012-02-01,4579,0.466538,0.507917,0.189067
2012-02-02,3761,0.398971,0.672917,0.187187
2012-02-03,4151,0.309346,0.526667,0.178496
2012-02-04,2832,0.272725,0.779583,0.121896
2012-02-05,2947,0.264521,0.687917,0.175996
2012-02-06,3784,0.296426,0.622174,0.1538
2012-02-07,4375,0.361104,0.49625,0.147379
2012-02-08,2802,0.266421,0.722917,0.133721
2012-02-09,3830,0.261988,0.562083,0.194037
2012-02-10,3831,0.293558,0.54,0.116929
2012-02-11,2169,0.210867,0.73125,0.289796
2012-02-12,1529,0.101658,0.464583,0.409212
2012-02-13,3422,0.227913,0.41125,0.167283
2012-02-14,3922,0.333946,0.50875,0.141179
2012-02-15,4169,0.351629,0.53125,0.1816
2012-02-16,3005,0.330162,0.752917,0.091425
2012-02-17,4154,0.351629,0.634583,0.205846
2012-02-18,4318,0.355425,0.534583,0.190929
2012-02-19,2689,0.265788,0.515833,0.253112
2012-02-20,3129,0.273391,0.507826,0.229083
2012-02-21,3777,0.295113,0.594348,0.205717
2012-02-22,4773,0.392667,0.567917,0.234471
2012-02-23,5062,0.444446,0.554583,0.190913
2012-02-24,3487,0.410971,0.7375,0.237567
2012-02-25,2732,0.255675,0.395833,0.421642
2012-02-26,3389,0.268308,0.41,0.205229
2012-02-27,4322,0.357954,0.490833,0.268033
2012-02-28,4363,0.353525,0.395833,0.193417
2012-02-29,1834,0.34847,0.804783,0.179117
2012-03-01,4990,0.475371,0.615417,0.226987
2012-03-02,3194,0.359842,0.657083,0.144904
2012-03-03,4066,0.413492,0.62125,0.161079
2012-03-04,3423,0.303021,0.403333,0.334571
2012-03-05,3333,0.241171,0.50625,0.228858
2012-03-06,3956,0.255042,0.456667,0.200875
2012-03-07,4916,0.3851,0.513333,0.345779
2012-03-08,5382,0.524604,0.5675,0.441563
2012-03-09,4569,0.397083,0.407083,0.4148
2012-03-10,4118,0.277767,0.350417,0.22575
2012-03-11,4911,0.35967,0.476957,0.222587
2012-03-12,5298,0.459592,0.489167,0.207713
2012-03-13,5847,0.542929,0.6175,0.23695
2012-03-14,6312,0.548617,0.507083,0.115062
2012-03-15,6192,0.532825,0.579583,0.149883
2012-03-16,4378,0.436229,0.842083,0.113192
2012-03-17,7836,0.505046,0.755833,0.110704
2012-03-18,5892,0.464,0.81,0.126883
2012-03-19,6153,0.532821,0.72875,0.162317
2012-03-20,6093,0.538533,0.807917,0.121271
2012-03-21,6230,0.513258,0.82125,0.0895583
2012-03-22,6871,0.531567,0.83125,0.117562
2012-03-23,8362,0.570067,0.694167,0.1163
2012-03-24,3372,0.486733,0.885417,0.192783
2012-03-25,4996,0.437488,0.880833,0.220775
2012-03-26,5558,0.43875,0.477917,0.386821
2012-03-27,5102,0.315654,0.29,0.187192
2012-03-28,5698,0.47095,0.48125,0.291671
2012-03-29,6133,0.482304,0.439167,0.31965
2012-03-30,5459,0.375621,0.580833,0.138067
2012-03-31,6235,0.421708,0.738333,0.250617
2012-04-01,6041,0.417287,0.67625,0.172267
2012-04-02,5936,0.427513,0.504348,0.312139
2012-04-03,6772,0.461483,0.396667,0.100133
2012-04-04,6436,0.53345,0.469583,0.180975
2012-04-05,6457,0.431163,0.374167,0.219529
2012-04-06,6460,0.390767,0.377083,0.300388
2012-04-07,6857,0.426129,0.254167,0.274871
2012-04-08,5169,0.492425,0.275833,0.232596
2012-04-09,5585,0.476638,0.3175,0.358196
2012-04-10,5918,0.436233,0.435,0.249375
2012-04-11,4862,0.337274,0.469565,0.295274
2012-04-12,5409,0.387604,0.46625,0.290429
2012-04-13,6398,0.431808,0.408333,0.155471
2012-04-14,7460,0.487996,0.502917,0.190917
2012-04-15,7132,0.573875,0.507917,0.225129
2012-04-16,6370,0.614925,0.561667,0.284829
2012-04-17,6691,0.598487,0.390417,0.273629
2012-04-18,4367,0.457038,0.569167,0.167912
2012-04-19,6565,0.493046,0.6125,0.0659292
2012-04-20,7290,0.515775,0.694583,0.149871
2012-04-21,6624,0.542921,0.682917,0.283587
2012-04-22,1027,0.389504,0.835417,0.344546
2012-04-23,3214,0.301125,0.766667,0.303496
2012-04-24,5633,0.405283,0.454167,0.249383
2012-04-25,6196,0.470317,0.427917,0.118792
2012-04-26,5026,0.483583,0.756667,0.176625
2012-04-27,6233,0.452637,0.400833,0.347633
2012-04-28,4220,0.377504,0.489583,0.129975
2012-04-29,6304,0.450121,0.587083,0.116908
2012-04-30,5572,0.457696,0.57,0.171638
2012-05-01,5740,0.577021,0.659583,0.156096
2012-05-02,6169,0.537896,0.797083,0.138058
2012-05-03,6421,0.537242,0.768333,0.133696
2012-05-04,6296,0.590917,0.735417,0.162938
2012-05-05,6883,0.584608,0.756667,0.152992
2012-05-06,6359,0.546737,0.74,0.149879
2012-05-07,6273,0.527142,0.664167,0.230721
2012-05-08,5728,0.557471,0.685833,0.296029
2012-05-09,4717,0.553025,0.744167,0.216412
2012-05-10,6572,0.491783,0.552083,0.314063
2012-05-11,7030,0.520833,0.360417,0.236937
2012-05-12,7429,0.544817,0.480417,0.123133
2012-05-13,6118,0.585238,0.57625,0.225117
2012-05-14,2843,0.5499,0.789583,0.212692
2012-05-15,5115,0.576404,0.794583,0.147392
2012-05-16,7424,0.595975,0.697917,0.122512
2012-05-17,7384,0.572613,0.52,0.229475
2012-05-18,7639,0.551121,0.523333,0.136817
2012-05-19,8294,0.566908,0.45625,0.083975
2012-05-20,7129,0.583967,0.530417,0.254367
2012-05-21,4359,0.565667,0.81125,0.233204
2012-05-22,6073,0.580825,0.765833,0.118167
2012-05-23,5260,0.584612,0.774583,0.102
2012-05-24,6770,0.6067,0.716667,0.172896
2012-05-25,6734,0.627529,0.747083,0.14055
2012-05-26,6536,0.642696,0.7325,0.198992
2012-05-27,6591,0.641425,0.697083,0.215171
2012-05-28,6043,0.6793,0.67625,0.196521
2012-05-29,5743,0.672992,0.684583,0.2954
2012-05-30,6855,0.611129,0.67,0.134329
2012-05-31,7338,0.631329,0.492917,0.195279
2012-06-01,4127,0.607962,0.755417,0.237563
2012-06-02,8120,0.566288,0.549167,0.186562
2012-06-03,7641,0.575133,0.493333,0.184087
2012-06-04,6998,0.578283,0.487083,0.284833
2012-06-05,7001,0.525892,0.613333,0.209575
2012-06-06,7055,0.542292,0.61125,0.077125
2012-06-07,7494,0.569442,0.567083,0.15735
2012-06-08,7736,0.597862,0.467917,0.175383
2012-06-09,7498,0.648367,0.437083,0.144287
2012-06-10,6598,0.663517,0.538333,0.133721
2012-06-11,6664,0.659721,0.587917,0.207713
2012-06-12,4972,0.597875,0.833333,0.214546
2012-06-13,7421,0.611117,0.582083,0.343279
2012-06-14,7363,0.624383,0.569583,0.253733
2012-06-15,7665,0.599754,0.589583,0.176617
2012-06-16,7702,0.594708,0.504167,0.166667
2012-06-17,6978,0.571975,0.59875,0.144904
2012-06-18,5099,0.544842,0.777917,0.174746
2012-06-19,6825,0.654692,0.69,0.148017
2012-06-20,6211,0.720975,0.592083,0.113812
2012-06-21,5905,0.752542,0.567917,0.118787
2012-06-22,5823,0.724121,0.57375,0.182842
2012-06-23,7458,0.652792,0.534583,0.179721
2012-06-24,6891,0.674254,0.479167,0.145525
2012-06-25,6779,0.654042,0.504167,0.300383
2012-06-26,7442,0.594704,0.373333,0.347642
2012-06-27,7335,0.640792,0.36,0.271775
2012-06-28,6879,0.675512,0.4225,0.17165
2012-06-29,5463,0.786613,0.48875,0.165417
2012-06-30,5687,0.687508,0.60125,0.161071
2012-07-01,5531,0.750629,0.51875,0.168529
2012-07-02,6227,0.702038,0.447083,0.195267
2012-07-03,6660,0.70265,0.492083,0.126237
2012-07-04,7403,0.732337,0.53875,0.13495
2012-07-05,6241,0.761367,0.457917,0.194029
2012-07-06,6207,0.752533,0.450833,0.146142
2012-07-07,4840,0.804913,0.492083,0.163554
2012-07-08,4672,0.790396,0.57375,0.125629
2012-07-09,6569,0.654054,0.683333,0.180975
2012-07-10,6290,0.664796,0.6675,0.151737
2012-07-11,7264,0.650271,0.633333,0.151733
2012-07-12,7446,0.654683,0.529583,0.146775
